"","Comparison","Sorensen","Jaccard"
"1","ATLANTIC:PANTANAL",0.783783783783784,0.878787878787879
"2","CERRADO:PANTANAL",0.294117647058824,0.454545454545455
"3","CERRADO:ATLANTIC",0.823529411764706,0.903225806451613
