ID,Biome,Sex,Age,Hemacias,Hemoglobina,Hematocrito,VCM-VGM,HCM-HGM,CHCM-CHGM,LeucocitosTotais,Eosinofilos,Basofilos,Linfocitos,Monocitos,Bastonetes,Segmentados,Neutrofilos,Plaquetas,TGP-ALT,TGO-AST,GamaGT,Ureia,acidourico,Creatinina,CreatininaFosfoquinaseCK-CPK,FosfataseAlcalina,Glicose,ColesterolTotal,ColesterolFracionadoHDL,ColesterolFracionadoLDL,ColesterolFracionadoVLDL,Triglicerideos,ProteinasTotais,Albumina,Globulina,RelaçaoA-G,BilirrubinaTotal,BilirrubinaDireta,BilirrubinaIndireta,Magnesio,Sodio,Potassio,Calcio,Fosforo,Cloro,Ferro,Colinesterase,LinfocitosReativos,LactatoDesidrogenase
Femea08JL,Atlantic,Female,Adult,5.61,10.3,0.306,55,18.4,33.7,10.9,0.327,0,2.725,0.109,0.109,7.63,,294,13,84,8.4,4.998,11.896,106.08,336,32,,3.7296,,,,0.3842,80,25,55,0.5,8.55,1.71,6.84,0.3699,139,3.3,2.55,0.4522,104,30.43,0.7,,
Regininha,Atlantic,Female,Juvenile,3.29,9.4,0.28,85,28,33,8.5,0.935,0.085,2.21,0.085,0.51,4.675,5.185,310,8,80,,4.998,65.428,35.36,1016,47,6.7155,4.4807,2.0461,2.2792,0.1554,0.3616,53,21,32,,6.84,3.42,3.42,0.71103,141,3.5,2.075,0.8398,115,13.783,501,,
ChuChu,Atlantic,Female,Sub-adult,,,,,,,,,,,,,,,,,,,6.6402,,,,,,3.588963,,,,,60.8,,,,,,,,,,,,,,,,
Patricia,Atlantic,Female,Sub-adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batista,Atlantic,Male,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gringo,Atlantic,Male,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mikilique,Atlantic,Male,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SemNomeObito,Atlantic,Male,Adult,,,,,,,,,,,,,,,,,,,5.40855,,,,,,4.709138,,,,,65.7,,,,,,,,,,,,,,,,
JamesBond007,Atlantic,Male,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dedinho,Atlantic,Male,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cicinho,Atlantic,Male,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chico,Atlantic,Male,Adult,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chico,Atlantic,Male,Adult,5.09,10.4,0.31,61,20,34,7.9,0,0,2.291,0.079,0.158,5.372,,289,12,77,15.4,6.426,11.896,88.4,161,20,9.0465,2.3828,,,,0.3503,81,27,54,0.5,6.84,1.71,5.13,0.1644,138,3.1,2.2,0.4845,113.8,30.072,0.9,,
Cidao,Atlantic,Male,Adult,4.9,9.2,0.27,55,18,34,8.2,0.164,0.082,1.64,0.164,0.246,5.904,6.15,,10,60,57,5.712,,61.88,,,,,,,,,,,,,8.55,1.71,6.84,1.1508,125,4,2.375,,,,,,
